,Value,Weight,Solution
10,4220.0,1493.0,"[12, 76, 2, 34, 82, 46, 95, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 91, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 32, 28, 63, 54, 29, 37, 71, 74, 19, 100, 45, 4, 92, 23, 21, 68, 9, 3, 93, 96, 22, 81, 84, 62, 42, 77, 87, 14, 16, 75, 94]"
11,4247.0,1482.0,"[12, 76, 2, 34, 82, 46, 95, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 91, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 32, 28, 63, 54, 29, 37, 71, 74, 19, 100, 45, 4, 92, 23, 21, 68, 9, 3, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65]"
12,4277.0,1448.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 32, 28, 63, 54, 29, 37, 71, 74, 19, 100, 45, 4, 92, 23, 21, 68, 9, 3, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58]"
13,4284.0,1480.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 37, 71, 74, 19, 100, 45, 4, 92, 23, 21, 68, 9, 3, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 60]"
14,4320.0,1476.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 37, 71, 74, 19, 45, 4, 92, 23, 21, 68, 9, 3, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 66, 67]"
15,4320.0,1476.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 37, 71, 74, 19, 45, 4, 92, 23, 21, 68, 9, 3, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 66, 67]"
16,4320.0,1476.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 37, 71, 74, 19, 45, 4, 92, 23, 21, 68, 9, 3, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 66, 67]"
17,4320.0,1476.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 37, 71, 74, 19, 45, 4, 92, 23, 21, 68, 9, 3, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 66, 67]"
18,4329.0,1469.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 71, 74, 19, 45, 4, 92, 23, 21, 68, 9, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 66, 67, 50, 98]"
19,4329.0,1469.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 71, 74, 19, 45, 4, 92, 23, 21, 68, 9, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 66, 67, 50, 98]"
20,4329.0,1469.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 71, 74, 19, 45, 4, 92, 23, 21, 68, 9, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 66, 67, 50, 98]"
21,4329.0,1469.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 71, 74, 19, 45, 4, 92, 23, 21, 68, 9, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 66, 67, 50, 98]"
22,4329.0,1469.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 71, 74, 19, 45, 4, 92, 23, 21, 68, 9, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 66, 67, 50, 98]"
23,4329.0,1469.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 71, 74, 19, 45, 4, 92, 23, 21, 68, 9, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 66, 67, 50, 98]"
24,4329.0,1469.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 71, 74, 19, 45, 4, 92, 23, 21, 68, 9, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 66, 67, 50, 98]"
25,4329.0,1469.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 71, 74, 19, 45, 4, 92, 23, 21, 68, 9, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 66, 67, 50, 98]"
26,4347.0,1490.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 71, 74, 19, 45, 4, 92, 23, 21, 68, 9, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 67, 50, 98, 61]"
27,4349.0,1498.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 71, 74, 19, 45, 4, 92, 23, 21, 68, 9, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 50, 98, 61, 37]"
28,4349.0,1498.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 71, 74, 19, 45, 4, 92, 23, 21, 68, 9, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 50, 98, 61, 37]"
29,4349.0,1498.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 71, 74, 19, 45, 4, 92, 23, 21, 68, 9, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 50, 98, 61, 37]"
30,4349.0,1498.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 71, 74, 19, 45, 4, 92, 23, 21, 68, 9, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 50, 98, 61, 37]"
31,4349.0,1498.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 71, 74, 19, 45, 4, 92, 23, 21, 68, 9, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 50, 98, 61, 37]"
32,4349.0,1498.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 71, 74, 19, 45, 4, 92, 23, 21, 68, 9, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 50, 98, 61, 37]"
33,4349.0,1498.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 71, 74, 19, 45, 4, 92, 23, 21, 68, 9, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 50, 98, 61, 37]"
34,4349.0,1498.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 71, 74, 19, 45, 4, 92, 23, 21, 68, 9, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 50, 98, 61, 37]"
35,4349.0,1498.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 71, 74, 19, 45, 4, 92, 23, 21, 68, 9, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 50, 98, 61, 37]"
36,4351.0,1494.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 71, 74, 19, 45, 4, 92, 23, 21, 68, 9, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 50, 98, 61, 3]"
37,4351.0,1494.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 71, 74, 19, 45, 4, 92, 23, 21, 68, 9, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 50, 98, 61, 3]"
38,4351.0,1494.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 71, 74, 19, 45, 4, 92, 23, 21, 68, 9, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 50, 98, 61, 3]"
39,4370.0,1493.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 71, 74, 19, 45, 4, 92, 23, 68, 9, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 50, 98, 61, 3, 22]"
40,4370.0,1493.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 71, 74, 19, 45, 4, 92, 23, 68, 9, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 50, 98, 61, 3, 22]"
41,4370.0,1493.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 71, 74, 19, 45, 4, 92, 23, 68, 9, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 50, 98, 61, 3, 22]"
42,4370.0,1493.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 71, 74, 19, 45, 4, 92, 23, 68, 9, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 50, 98, 61, 3, 22]"
43,4370.0,1493.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 71, 74, 19, 45, 4, 92, 23, 68, 9, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 50, 98, 61, 3, 22]"
44,4370.0,1493.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 71, 74, 19, 45, 4, 92, 23, 68, 9, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 50, 98, 61, 3, 22]"
45,4370.0,1493.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 71, 74, 19, 45, 4, 92, 23, 68, 9, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 50, 98, 61, 3, 22]"
46,4370.0,1493.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 71, 74, 19, 45, 4, 92, 23, 68, 9, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 50, 98, 61, 3, 22]"
47,4370.0,1493.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 71, 74, 19, 45, 4, 92, 23, 68, 9, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 50, 98, 61, 3, 22]"
48,4370.0,1493.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 71, 74, 19, 45, 4, 92, 23, 68, 9, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 50, 98, 61, 3, 22]"
49,4370.0,1493.0,"[12, 76, 2, 34, 82, 46, 1, 89, 20, 41, 11, 59, 88, 90, 83, 51, 48, 31, 40, 56, 73, 35, 10, 79, 38, 70, 85, 52, 28, 63, 54, 29, 71, 74, 19, 45, 4, 92, 23, 68, 9, 93, 96, 84, 62, 42, 77, 87, 14, 16, 75, 94, 24, 65, 13, 58, 50, 98, 61, 3, 22]"
